num_layers,num_trials,GAT,GCN,MLP,g2-MLP
4,1,82.13655214510985,80.7284217329639,82.52119975344253,99.52708242320512
4,2,82.16408040646076,80.83344803442229,82.52733376820007,99.50778271823629
4,3,81.85767888881574,80.70627943579034,82.54005062806327,99.5468309585221
4,4,83.35153589745124,81.02180717051364,82.51745950054159,99.55251614293152
4,5,82.666321565999,80.92426137485712,82.54783035409723,99.52244450960796
8,1,85.83057552019437,80.8398812694119,82.95297454832706,99.6614323074069
8,2,84.79946260046319,80.7490679289771,82.98708565478363,99.65484946230124
8,3,85.31397178951651,80.65825458854225,82.9754160657327,99.65799127473804
8,4,84.39985398052676,81.04230375641079,82.96284881598555,99.67759019993896
8,5,85.07728858594503,80.17606118455305,82.9718254229478,99.6626291883352
12,1,82.31249364157007,80.60095391409986,83.05755201943734,99.69509458351536
12,2,85.50681922908899,79.149436568303,83.09375766751845,99.68387382481254
12,3,84.75532761623211,80.65331745471302,83.06503252523922,99.69943327688044
12,4,84.0455772257497,79.23755692664915,83.05650474862509,99.6849210956248
12,5,80.93189149077504,80.1670845775908,83.06248915326658,99.68342499446445
16,1,78.04366820066906,75.41127820898737,83.0593473408298,99.69973249711252
16,2,81.30352301901245,79.33076402894058,83.0900174146175,99.70137820838892
16,3,84.76026475006134,78.94162811712677,83.07819821545054,99.6885117384097
16,4,79.08645070945117,78.8952489811551,83.06877277814017,99.68791329794556
16,5,74.50598739684382,78.73606381769109,83.1075217981939,99.7199298627776
20,1,74.32421110585814,73.47562252769283,83.15001107114858,99.6813304528399
20,2,74.3427627602468,75.075553108599,83.06263876338262,99.7103548153512
20,3,74.28366676441193,73.84635639523403,83.14342822604293,99.7182841515012
20,4,74.34485730187133,74.7501511062172,83.14342822604293,99.70466963094177
20,5,71.61626800557747,75.27498339327711,83.13235707745615,99.70885871419082
24,1,74.32540798678644,72.21575574054016,83.07745016487034,99.70945715465496
24,2,74.32510876655437,72.77155732161987,83.12682150316274,99.70317352978138
24,3,72.29639559308443,72.09307544538932,83.10183661378447,99.6952441936314
24,4,74.32750252841096,73.69315563641152,83.09959246204392,99.69419692281912
24,5,72.29684442343253,73.23175803855153,83.10797062854202,99.69988210722856